SYMBOL,INTERVAL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HDFC.NS,D,4/3/1996 00:00:00,3.25525,3.275,3.236,3.27115,4589999.795
HDFC.NS,D,4/4/1996 00:00:00,3.235,3.235,3.15,3.1975,1829999.918
HDFC.NS,D,4/8/1996 00:00:00,3.1975,3.255,3.15,3.19225,2549999.886
HDFC.NS,D,4/9/1996 00:00:00,3.19225,3.2,3.1,3.11515,1659999.926
HDFC.NS,D,4/10/1996 00:00:00,3.11515,3.198,3.0985,3.15215,2809999.874
HDFC.NS,D,4/11/1996 00:00:00,3.15215,3.155,3.107,3.14625,1819999.919
HDFC.NS,D,4/12/1996 00:00:00,3.14625,3.15,3.118,3.13935,1569999.93
HDFC.NS,D,4/15/1996 12:00:00 AM,3.13935,3.185,3.115,3.1461,2629999.882
HDFC.NS,D,4/16/1996 12:00:00 AM,3.1461,3.16,3.13,3.14715,2309999.897
HDFC.NS,D,4/17/1996 12:00:00 AM,3.153,3.249,3.153,3.18755,7639999.658
HDFC.NS,D,4/18/1996 12:00:00 AM,3.18755,3.229,3.16,3.2037,4589999.795
HDFC.NS,D,4/19/1996 12:00:00 AM,3.2037,3.23,3.18105,3.19195,5329999.762
HDFC.NS,D,4/22/1996 12:00:00 AM,3.19195,3.23,3.11,3.1322,1399999.937
HDFC.NS,D,4/23/1996 12:00:00 AM,3.072,3.072,2.981,2.99905,2229999.9
HDFC.NS,D,4/24/1996 12:00:00 AM,3.024,3.14,3.024,3.11045,2419999.892
HDFC.NS,D,4/25/1996 12:00:00 AM,3.15,3.15,3.06025,3.0962,2299999.897
HDFC.NS,D,4/26/1996 12:00:00 AM,3.0962,3.118,3.0705,3.09225,2539999.886
HDFC.NS,D,4/29/1996 12:00:00 AM,3.09225,3.12995,3.05,3.108,1599999.928
HDFC.NS,D,4/30/1996 12:00:00 AM,3.1,3.1,3.032,3.0493,1329999.941
HDFC.NS,D,5/1/1996 00:00:00,3.0493,3.09,3,3.02995,369999.9835
HDFC.NS,D,5/2/1996 00:00:00,3.01,3.01,2.94,3.00505,519999.9768
HDFC.NS,D,5/3/1996 00:00:00,3.00505,3.1,2.97,3.08155,2329999.896
HDFC.NS,D,5/6/1996 00:00:00,3.08,3.08,3.035,3.07225,1599999.928
HDFC.NS,D,5/7/1996 00:00:00,3.07225,3.08,3.051,3.07495,6209999.722
HDFC.NS,D,5/8/1996 00:00:00,3.07495,3.09,3.025,3.06745,1099999.951
HDFC.NS,D,5/9/1996 00:00:00,3.06745,3.217,3.045,3.2073,36919998.35
HDFC.NS,D,5/10/1996 00:00:00,3.18,3.18,2.921,3.0457,31689998.58
HDFC.NS,D,5/13/1996 12:00:00 AM,3.0457,3.05,3,3.0224,639999.9714
HDFC.NS,D,5/14/1996 12:00:00 AM,3.0224,3.18,3.02125,3.1517,26899998.8
HDFC.NS,D,5/15/1996 12:00:00 AM,3.13,3.13,3.075,3.1156,2419999.892
HDFC.NS,D,5/16/1996 12:00:00 AM,3.1156,3.224,3.10125,3.1488,1609999.928
HDFC.NS,D,5/17/1996 12:00:00 AM,3.136,3.136,3.1,3.1244,3219999.856
HDFC.NS,D,5/20/1996 12:00:00 AM,3.065,3.065,3.027,3.03235,739999.9669
HDFC.NS,D,5/21/1996 12:00:00 AM,3.03,3.03,2.975,2.983,1689999.924
HDFC.NS,D,5/22/1996 12:00:00 AM,2.983,3.009,2.95615,2.96445,219999.9902
HDFC.NS,D,5/23/1996 12:00:00 AM,2.95,2.95,2.925,2.9307,639999.9714
HDFC.NS,D,5/24/1996 12:00:00 AM,2.9307,2.948,2.912,2.941,559999.975
HDFC.NS,D,5/27/1996 12:00:00 AM,2.925,2.925,2.85,2.852,689999.9692
HDFC.NS,D,5/28/1996 12:00:00 AM,2.8,2.8,2.71,2.75115,819999.9633
HDFC.NS,D,5/29/1996 12:00:00 AM,2.77705,3,2.77705,2.96775,1899999.915
HDFC.NS,D,5/30/1996 12:00:00 AM,2.96775,2.995,2.852,2.9021,1079999.952
HDFC.NS,D,5/31/1996 12:00:00 AM,2.894,2.894,2.86825,2.885,369999.9835
HDFC.NS,D,6/3/1996 00:00:00,2.89,2.948,2.89,2.8985,389999.9826
HDFC.NS,D,6/4/1996 00:00:00,2.8985,2.901,2.807,2.8138,639999.9714
HDFC.NS,D,6/5/1996 00:00:00,2.9,2.9,2.84005,2.871,859999.9616
HDFC.NS,D,6/6/1996 00:00:00,2.95,2.95,2.9,2.91015,1599999.928
HDFC.NS,D,6/7/1996 00:00:00,2.87605,2.9,2.875,2.882,309999.9861
HDFC.NS,D,6/10/1996 00:00:00,2.9,2.929,2.9,2.90535,539999.9759
HDFC.NS,D,6/11/1996 00:00:00,2.901,2.939,2.882,2.92635,1209999.946
HDFC.NS,D,6/12/1996 00:00:00,2.985,2.985,2.915,2.91785,629999.9718
HDFC.NS,D,6/13/1996 12:00:00 AM,2.895,2.93895,2.895,2.92535,679999.9696
HDFC.NS,D,6/14/1996 12:00:00 AM,2.925,3.05,2.91,3.00525,2209999.901
HDFC.NS,D,6/17/1996 12:00:00 AM,3.05,3.14995,2.955,2.96645,2739999.878
HDFC.NS,D,6/18/1996 12:00:00 AM,2.9,2.999,2.9,2.98795,2379999.894
HDFC.NS,D,6/19/1996 12:00:00 AM,3.25,3.25,3.11,3.1187,14049999.37
HDFC.NS,D,6/20/1996 12:00:00 AM,3.1,3.17,3.069,3.1303,5899999.736
HDFC.NS,D,6/21/1996 12:00:00 AM,3.17,3.17,3.09105,3.09955,4329999.806
HDFC.NS,D,6/24/1996 12:00:00 AM,3.098,3.098,3.05,3.06815,3189999.857
HDFC.NS,D,6/25/1996 12:00:00 AM,3.011,3.095,3.011,3.03215,3109999.861
HDFC.NS,D,6/26/1996 12:00:00 AM,3.016,3.03,2.966,2.9848,4019999.82
HDFC.NS,D,6/27/1996 12:00:00 AM,2.96,2.99995,2.95,2.9672,3659999.836
HDFC.NS,D,6/28/1996 12:00:00 AM,2.975,2.98,2.9401,2.9453,2509999.888
HDFC.NS,D,7/1/1996 00:00:00,2.97,2.97,2.905,2.91095,1859999.917
HDFC.NS,D,7/2/1996 00:00:00,2.88705,2.909,2.875,2.87715,2409999.892
HDFC.NS,D,7/3/1996 00:00:00,2.75,2.824,2.75,2.77675,1869999.916
HDFC.NS,D,7/4/1996 00:00:00,2.75,2.799,2.65,2.75095,20099999.1
HDFC.NS,D,7/5/1996 00:00:00,2.81,2.82,2.768,2.77965,1819999.919
HDFC.NS,D,7/8/1996 00:00:00,2.775,2.785,2.7463,2.7795,1319999.941
HDFC.NS,D,7/9/1996 00:00:00,2.754,2.78,2.73,2.7453,1699999.924
HDFC.NS,D,7/10/1996 00:00:00,2.7,2.83,2.7,2.76015,7099999.683
HDFC.NS,D,7/11/1996 00:00:00,2.775,2.79,2.751,2.761,6399999.714
HDFC.NS,D,7/12/1996 00:00:00,2.598,2.767,2.598,2.7233,2499999.888
HDFC.NS,D,7/15/1996 12:00:00 AM,2.7,2.7,2.65,2.66025,2609999.883
HDFC.NS,D,7/16/1996 12:00:00 AM,2.636,2.637,2.401,2.47395,20099999.1
HDFC.NS,D,7/17/1996 12:00:00 AM,2.59495,2.595,2.495,2.50605,3169999.858
HDFC.NS,D,7/18/1996 12:00:00 AM,2.53995,2.565,2.538,2.55115,1299999.942
HDFC.NS,D,7/19/1996 12:00:00 AM,2.549,2.56825,2.486,2.49655,2099999.906
HDFC.NS,D,7/22/1996 12:00:00 AM,2.55,2.585,2.5331,2.55025,749999.9665
HDFC.NS,D,7/23/1996 12:00:00 AM,2.435,2.507,2.416,2.50035,2829999.873
HDFC.NS,D,7/24/1996 12:00:00 AM,2.52,2.52,2.462,2.49125,629999.9718
HDFC.NS,D,7/25/1996 12:00:00 AM,2.495,2.5,2.47205,2.49015,449999.9799
HDFC.NS,D,7/26/1996 12:00:00 AM,2.5005,2.501,2.47125,2.4904,699999.9687
HDFC.NS,D,7/29/1996 12:00:00 AM,2.495,2.495,2.46,2.46995,409999.9817
HDFC.NS,D,7/30/1996 12:00:00 AM,2.4659,2.4659,2.36,2.3818,1099999.951
HDFC.NS,D,7/31/1996 12:00:00 AM,2.375,2.445,2.361,2.43875,1029999.954
HDFC.NS,D,8/1/1996 00:00:00,2.49,2.59,2.47005,2.5794,5269999.764
HDFC.NS,D,8/2/1996 00:00:00,2.5628,2.79,2.54005,2.73485,4299999.808
HDFC.NS,D,8/5/1996 00:00:00,2.69,2.775,2.68145,2.762,3839999.828
HDFC.NS,D,8/6/1996 00:00:00,2.7411,2.783,2.723,2.772,4609999.794
HDFC.NS,D,8/7/1996 00:00:00,2.775,2.779,2.725,2.774,2519999.887
HDFC.NS,D,8/8/1996 00:00:00,2.769,2.775,2.75,2.7644,1399999.937
HDFC.NS,D,8/9/1996 00:00:00,2.765,2.77,2.75,2.7636,1009999.955
HDFC.NS,D,8/12/1996 00:00:00,2.759,2.777,2.725,2.73345,1259999.944
HDFC.NS,D,8/13/1996 12:00:00 AM,2.725,2.73,2.67,2.6781,1879999.916
HDFC.NS,D,8/14/1996 12:00:00 AM,2.636,2.669,2.63,2.63585,969999.9566
HDFC.NS,D,8/16/1996 12:00:00 AM,2.61505,2.625,2.561,2.61855,1459999.935
HDFC.NS,D,8/19/1996 12:00:00 AM,2.575,2.6049,2.575,2.59695,1199999.946
